game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
re86,random,hybrid,0/8,0.0,—,0,—,0.532,0.48→0.51→0.57→0.56→0.54→0.52,0.82→0.84→0.86→0.90→0.90→0.80,0.00→0.01→0.02→0.01→0.01,2.7→5.7→5.5→6.2→7.7→6.6,9→15→26→32→35→42,187→484→873→1267→1597→1743,42,1906,462.8
sp80,random,descent,0/6,0.0,—,0,—,0.769,0.71→0.78→0.80→0.77→0.77→0.95,0.76→0.81→0.82→0.80→0.79→1.00,0.00→0.00→0.00→0.00→0.00→0.00,6.3→15.2→22.9→31.2→39.7→43.9,6→8→9→9→9→9,0→0→0→0→0→0,9,0,42.4
su15,random,descent,0/9,0.0,—,0,—,0.803,0.41→0.75→1.00→0.92→0.84→1.00,0.62→0.88→1.00→1.00→0.85→1.00,0.00→0.00→0.00→0.00→0.00,1.2→1.7→2.5→3.5→4.4→6.2,2→7→9→9→10→7,0→0→0→0→0→0,7,0,2.1
sp80,random,hybrid,0/6,0.0,—,0,—,0.799,0.73→0.82→0.83→0.80→0.80→0.95,0.81→0.81→0.82→0.80→0.79→1.00,0.01→0.00→0.00→0.00→0.00→0.00,6.3→15.2→22.9→31.2→39.7→43.9,6→8→9→9→9→9,120→279→398→559→752→846,9,1179,43.4
su15,random,hybrid,0/9,0.0,—,0,—,0.917,0.72→0.88→1.00→0.95→1.00→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.2→1.7→2.5→3.5→4.4→6.2,2→7→9→9→10→7,59→52→47→44→38→64,7,292,2.6
tn36,random,descent,0/7,0.0,—,0,—,0.951,0.88→0.94→0.98→0.98→0.98→1.00,0.94→0.99→0.99→0.99→0.99→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.5→20.7→28.8→40.4→52.6→58.7,5→6→7→7→7→7,0→0→0→0→0→0,7,0,18.7
tn36,random,hybrid,0/7,0.0,—,0,—,0.948,0.87→0.94→0.97→0.98→0.98→1.00,1.00→0.99→0.99→0.99→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.5→20.7→28.8→40.4→52.6→58.7,5→6→7→7→7→7,275→556→341→437→499→626,7,1900,23.3
tr87,random,descent,0/6,0.0,—,0,—,0.686,0.48→0.70→0.62→0.76→0.85→1.00,0.63→0.79→0.62→0.81→0.86→1.00,0.00→0.00→0.00→0.00→0.00,1.8→3.7→7.3→10.1→13.0→14.8,9→17→16→16→16→16,0→0→0→0→0→0,16,0,53.5
tr87,random,hybrid,0/6,0.0,—,0,—,0.678,0.49→0.68→0.58→0.76→0.86→1.00,0.81→0.82→0.62→0.82→0.86→1.00,0.01→0.02→0.00→0.00→0.00,1.8→3.7→7.3→10.1→13.0→14.8,9→17→16→16→16→16,420→798→923→1419→1662→1922,16,952,57.2
sc25,random,descent,0/6,0.0,—,0,—,0.653,0.48→0.66→0.70→0.67→0.75→0.68,0.63→0.88→0.99→0.92→0.94→0.89,0.01→0.00→0.00→0.00→0.00→0.00,1.3→2.9→4.5→6.4→8.5→9.6,19→34→37→37→37→36,0→0→0→0→0→0,37,0,595.7
sc25,random,hybrid,0/6,0.0,—,0,—,0.688,0.58→0.69→0.71→0.69→0.76→0.73,0.93→0.91→0.99→0.95→0.95→0.89,0.02→0.00→0.00→0.00→0.00→0.00,1.3→2.9→4.5→6.4→8.5→9.6,19→34→37→37→37→36,180→517→766→1023→1254→1382,37,1304,598.1
tu93,random,descent,0/9,0.0,—,0,—,0.508,0.46→0.54→0.55→0.52→0.47→0.39,0.62→0.68→0.69→0.68→0.66→0.61,0.01→0.00→0.00→0.00→0.00→0.00,3.3→7.8→11.1→12.4→13.6→15.8,8→10→12→13→14→16,0→0→0→0→0→0,16,0,337.8
r11l,random,descent,1/6,4.76,13,0,—,0.413,0.37→0.33→0.46→0.33→0.56→0.48,0.45→0.40→0.49→0.34→0.64→0.48,0.00→0.00→0.00→0.00→0.00→0.00,2.0→3.0→5.7→7.4→9.9→15.9,10→15→14→14→14→12,0→0→0→0→0→0,12,0,931.4
tu93,random,hybrid,0/9,0.0,—,0,—,0.568,0.53→0.59→0.61→0.59→0.53→0.43,0.71→0.70→0.70→0.70→0.66→0.61,0.02→0.00→0.00→0.00→0.00→0.00,3.3→7.8→11.1→12.4→13.6→15.8,8→10→12→13→14→16,729→2151→3596→5042→6474→7260,16,441,353.9
r11l,random,hybrid,1/6,4.76,13,0,—,0.445,0.44→0.34→0.49→0.36→0.58→0.50,0.86→0.78→0.82→0.70→0.86→0.79,0.02→0.02→0.01→0.02→0.00→0.00,2.0→3.0→5.7→7.4→9.9→15.9,10→15→14→14→14→12,313→1158→2061→2907→3785→4000,12,3933,954.1
wa30,random,descent,0/9,0.0,—,0,—,0.571,0.32→0.61→0.66→0.67→0.61→0.38,0.57→0.80→0.79→0.79→0.75→0.57,0.07→0.00→0.00→0.00→0.00→0.00,1.2→2.4→4.1→5.8→7.2→8.0,9→21→23→24→24→23,0→0→0→0→0→0,24,0,85.4
wa30,random,hybrid,0/9,0.0,—,0,—,0.582,0.36→0.63→0.65→0.67→0.62→0.39,0.77→0.90→0.82→0.79→0.75→0.57,0.00→0.00→0.00→0.00→0.00→0.00,1.2→2.4→4.1→5.8→7.2→8.0,9→21→23→24→24→23,139→332→490→669→822→879,24,1352,86.4
vc33,random,descent,1/7,0.21,29,0,—,0.634,0.57→0.63→0.62→0.67→0.68→0.57,0.72→0.74→0.75→0.77→0.79→0.67,0.02→0.02→0.00→0.00→0.00,2.5→5.1→6.2→8.2→9.8,11→17→22→23→25→24,0→0→0→0→0→0,24,0,627.3
vc33,random,hybrid,1/7,0.21,29,0,—,0.653,0.56→0.65→0.66→0.70→0.70→0.65,0.85→0.78→0.77→0.77→0.80→0.67,0.02→0.02→0.01→0.00→0.00→0.01,2.5→5.1→6.2→8.2→9.8,11→17→22→23→25→24,179→481→838→1233→1641→1863,24,1734,632.7
sk48,random,descent,0/8,0.0,—,0,—,0.457,0.24→0.45→0.50→0.54→0.56→0.50,0.36→0.64→0.75→0.71→0.76→0.70,0.03→0.00→0.00→0.00→0.00→0.00,1.0→1.9→3.7→5.1→5.9→6.2,14→36→42→50→61→70,0→0→0→0→0→0,71,0,9747.8
sk48,random,hybrid,0/8,0.0,—,0,—,0.519,0.34→0.54→0.55→0.59→0.58→0.53,0.87→0.86→0.87→0.88→0.88→0.88,0.00→0.01→0.00→0.01→0.00→0.00,1.0→1.9→3.7→5.1→5.9→6.2,14→36→42→50→61→70,318→949→1510→2262→2875→3148,71,2737,19052.0
